Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,GRU,EZE,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1069,02:38,,,,,330 320,,,"Direct",2564,3988,4867,
- -,GRU,EZE,LAN Airlines (LA),LAN Airlines,1069,02:38,,,,,330 320,,,"Codeshare",2564,3988,3200,
- -,GRU,EZE,TAM Mercosur (PZ),TAM Mercosur,1069,02:38,,,,,320,,,"Direct",2564,3988,5156,
- -,GRU,EZE,Qatar Airways (QR),Qatar Airways,1069,02:38,,,,,77L,,,"Direct",2564,3988,4091,
- -,GRU,EZE,Turkish Airlines (TK),Turkish Airlines,1069,02:38,,,,,343,,,"Direct",2564,3988,4951,
- -,GRU,FCO,Alitalia (AZ),Alitalia,5857,12:12,,,,,772,,,"Direct",2564,1555,596,
- -,GRU,FLN,City Connexion Airlines (G3),City Connexion Airlines,319,01:08,,,,,738 73G,,,"Direct",2564,2555,1790,
- -,GRU,FLN,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,319,01:08,,,,,320,,,"Direct",2564,2555,4867,
- -,GRU,FLN,Oceanair (O6),Oceanair,319,01:08,,,,,318 320,,,"Direct",2564,2555,3764,
- -,GRU,FOR,City Connexion Airlines (G3),City Connexion Airlines,1457,03:24,,,,,73G 738,,,"Direct",2564,2559,1790,
- -,GRU,FOR,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1457,03:24,,,,,321 320,,,"Direct",2564,2559,4867,
- -,GRU,FOR,Oceanair (O6),Oceanair,1457,03:24,,,,,320 318,,,"Direct",2564,2559,3764,
- -,GRU,FRA,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,6084,12:40,,,,,773,,,"Direct",2564,340,4867,
- -,GRU,FRA,Lufthansa (LH),Lufthansa,6084,12:40,,,,,74H,,,"Direct",2564,340,3320,
- -,GRU,GIG,City Connexion Airlines (G3),City Connexion Airlines,209,00:55,,,,,738 73G,,,"Direct",2564,2560,1790,
- -,GRU,GIG,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,209,00:55,,,,,320 319,,,"Direct",2564,2560,4867,
- -,GRU,GIG,Oceanair (O6),Oceanair,209,00:55,,,,,318,,,"Direct",2564,2560,3764,
- -,GRU,GIG,United Airlines (UA),United Airlines,209,00:55,,,,,777,,,"Direct",2564,2560,5209,
- -,GRU,GYN,City Connexion Airlines (G3),City Connexion Airlines,502,01:30,,,,,738 73G,,,"Direct",2564,2562,1790,
- -,GRU,GYN,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,502,01:30,,,,,320,,,"Direct",2564,2562,4867,
- -,GRU,IAD,United Airlines (UA),United Airlines,4750,10:00,,,,,777,,,"Direct",2564,3714,5209,
- -,GRU,IAH,United Airlines (UA),United Airlines,4909,10:19,,,,,763,,,"Direct",2564,3550,5209,
- -,GRU,IGU,City Connexion Airlines (G3),City Connexion Airlines,524,01:32,,,,,738 73G,,,"Direct",2564,2554,1790,
- -,GRU,IGU,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,524,01:32,,,,,320 319,,,"Direct",2564,2554,4867,
- -,GRU,ISL,Turkish Airlines (TK),Turkish Airlines,6551,13:36,,,,,343,,,"Direct",2564,1701,4951,
- -,GRU,JDO,Oceanair (O6),Oceanair,1217,02:56,,,,,318,,,"Direct",2564,6034,3764,
- -,GRU,JFK,American Airlines (AA),American Airlines,4759,10:01,,,,,77W 777 773,,,"Direct",2564,3797,24,
- -,GRU,JFK,Delta Air Lines (DL),Delta Air Lines,4759,10:01,,,,,764,,,"Direct",2564,3797,2009,
- -,GRU,JFK,City Connexion Airlines (G3),City Connexion Airlines,4759,10:01,,,,,764,,,"Direct",2564,3797,1790,
- -,GRU,JFK,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,4759,10:01,,,,,773 77W 777,,,"Direct",2564,3797,4867,
- -,GRU,JFK,US Airways (US),US Airways,4759,10:01,,,,,77W 777,,,"Direct",2564,3797,5265,
- -,GRU,JNB,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,4619,09:44,,,,,346 332 343,,,"Direct",2564,813,4867,
- -,GRU,JNB,South African Airways (SA),South African Airways,4619,09:44,,,,,346 332 343,,,"Direct",2564,813,4305,
- -,GRU,JOI,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,241,00:58,,,,,319,,,"Direct",2564,2576,4867,
- -,GRU,JPA,City Connexion Airlines (G3),City Connexion Airlines,1359,03:13,,,,,738,,,"Direct",2564,2575,1790,
- -,GRU,JPA,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1359,03:13,,,,,320,,,"Direct",2564,2575,4867,
- -,GRU,LAD,TAAG Angola Airlines (DT),TAAG Angola Airlines,4057,08:36,,,,,77W,,,"Direct",2564,951,5133,
- -,GRU,LAX,American Airlines (AA),American Airlines,6159,12:49,,,,,777,,,"Direct",2564,3484,24,
- -,GRU,LAX,Korean Air (KE),Korean Air,6159,12:49,,,,,77W,,,"Direct",2564,3484,3163,
- -,GRU,LAX,US Airways (US),US Airways,6159,12:49,,,,,777,,,"Direct",2564,3484,5265,
- -,GRU,LDB,City Connexion Airlines (G3),City Connexion Airlines,295,01:05,,,,,738 73G,,,"Direct",2564,2581,1790,
- -,GRU,LDB,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,295,01:05,,,,,320,,,"Direct",2564,2581,4867,
- -,GRU,LFW,Ethiopian Airlines (ET),Ethiopian Airlines,3810,08:07,,,,,788,,,"Direct",2564,298,2220,
- -,GRU,LHR,British Airways (BA),British Airways,5874,12:14,,,,,744,,,"Direct",2564,507,1355,
- -,GRU,LHR,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5874,12:14,,,,,773,,,"Direct",2564,507,4867,
- -,GRU,LIM,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,2157,04:48,,,,,321,,,"Codeshare",2564,2789,515,
- -,GRU,LIM,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,2157,04:48,,,,,320,,,"Direct",2564,2789,4867,
- -,GRU,LIM,LAN Airlines (LA),LAN Airlines,2157,04:48,,,,,320 763,,,"Codeshare",2564,2789,3200,
- -,GRU,LIM,Grupo TACA (TA),Grupo TACA,2157,04:48,,,,,321,,,"Codeshare",2564,2789,2622,
- -,GRU,LIS,TAP Portugal (TP),TAP Portugal,4927,10:21,,,,,343 332,,,"Direct",2564,1638,4869,
- -,GRU,MAD,Air China (CA),Air China,5202,10:54,,,,,330,,,"Direct",2564,1229,751,
- -,GRU,MAD,Iberia Airlines (IB),Iberia Airlines,5202,10:54,,,,,345 342 346,,,"Direct",2564,1229,2822,
- -,GRU,MAD,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5202,10:54,,,,,330,,,"Direct",2564,1229,4867,
- -,GRU,MAD,LAN Airlines (LA),LAN Airlines,5202,10:54,,,,,330,,,"Codeshare",2564,1229,3200,
- -,GRU,MAD,Air Europa (UX),Air Europa,5202,10:54,,,,,332,,,"Direct",2564,1229,90,
- -,GRU,MAO,City Connexion Airlines (G3),City Connexion Airlines,1675,03:51,,,,,738,,,"Direct",2564,2551,1790,
- -,GRU,MAO,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1675,03:51,,,,,330 321 320,,,"Direct",2564,2551,4867,
- -,GRU,MCO,American Airlines (AA),American Airlines,4265,09:01,,,,,320,,,"Direct",2564,3878,24,
- -,GRU,MCO,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,4265,09:01,,,,,330,,,"Direct",2564,3878,4867,
- -,GRU,MCZ,City Connexion Airlines (G3),City Connexion Airlines,1192,02:53,,,,,738,,,"Direct",2564,2590,1790,
- -,GRU,MCZ,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1192,02:53,,,,,321,,,"Direct",2564,2590,4867,
- -,GRU,MCZ,Oceanair (O6),Oceanair,1192,02:53,,,,,318,,,"Direct",2564,2590,3764,
- -,GRU,MEX,AeroMéxico (AM),AeroMéxico,4616,09:43,,,,,777,,,"Direct",2564,1824,321,
- -,GRU,MEX,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,4616,09:43,,,,,330,,,"Direct",2564,1824,4867,
- -,GRU,MGF,City Connexion Airlines (G3),City Connexion Airlines,350,01:12,,,,,73G,,,"Direct",2564,2586,1790,
- -,GRU,MIA,American Airlines (AA),American Airlines,4082,08:39,,,,,773 777,,,"Direct",2564,3576,24,
- -,GRU,MIA,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,4082,08:39,,,,,773 777,,,"Direct",2564,3576,4867,
- -,GRU,MIA,US Airways (US),US Airways,4082,08:39,,,,,777,,,"Direct",2564,3576,5265,
- -,GRU,MUC,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,6121,12:44,,,,,346,,,"Codeshare",2564,346,4867,
- -,GRU,MUC,Lufthansa (LH),Lufthansa,6121,12:44,,,,,346,,,"Direct",2564,346,3320,
- -,GRU,MVD,BQB Lineas Aereas (5Q),BQB Lineas Aereas,974,02:26,,,,,AT7 319,,,"Direct",2564,2816,18232,
- -,GRU,MVD,City Connexion Airlines (G3),City Connexion Airlines,974,02:26,,,,,738,,,"Direct",2564,2816,1790,
- -,GRU,MVD,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,974,02:26,,,,,320,,,"Direct",2564,2816,4867,
- -,GRU,MVD,LAN Airlines (LA),LAN Airlines,974,02:26,,,,,320,,,"Codeshare",2564,2816,3200,
- -,GRU,MVD,TAM Mercosur (PZ),TAM Mercosur,974,02:26,,,,,320,,,"Direct",2564,2816,5156,
- -,GRU,MXP,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5890,12:16,,,,,330,,,"Direct",2564,1524,4867,
- -,GRU,NAT,City Connexion Airlines (G3),City Connexion Airlines,1425,03:21,,,,,738,,,"Direct",2564,2597,1790,
- -,GRU,NAT,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1425,03:21,,,,,321 320,,,"Direct",2564,2597,4867,
- -,GRU,NAT,Oceanair (O6),Oceanair,1425,03:21,,,,,320,,,"Direct",2564,2597,3764,
- -,GRU,NVT,City Connexion Airlines (G3),City Connexion Airlines,274,01:02,,,,,73G,,,"Direct",2564,2595,1790,
- -,GRU,OPO,TAP Portugal (TP),TAP Portugal,5080,10:39,,,,,332,,,"Direct",2564,1636,4869,
- -,GRU,ORD,United Airlines (UA),United Airlines,5234,10:58,,,,,777,,,"Direct",2564,3830,5209,
- -,GRU,PFB,Oceanair (O6),Oceanair,492,01:29,,,,,100,,,"Direct",2564,2602,3764,
- -,GRU,POA,City Connexion Airlines (G3),City Connexion Airlines,537,01:34,,,,,738 73G,,,"Direct",2564,2599,1790,
- -,GRU,POA,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,537,01:34,,,,,320 321 330,,,"Direct",2564,2599,4867,
- -,GRU,POA,Oceanair (O6),Oceanair,537,01:34,,,,,100 318,,,"Direct",2564,2599,3764,
- -,GRU,PTY,Copa Airlines (CM),Copa Airlines,3158,06:48,,,,,738,,,"Direct",2564,1871,1889,
- -,GRU,RAO,Changan Airlines (2Z),Changan Airlines,179,00:51,,,,,AT7,,,"Direct",2564,2613,1729,
- -,GRU,RAO,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,179,00:51,,,,,320 319,,,"Direct",2564,2613,4867,
- -,GRU,RAO,Marusya Airways (Y8),Marusya Airways,179,00:51,,,,,EM2 ER4,,,"Direct",2564,2613,16725,
- -,GRU,REC,City Connexion Airlines (G3),City Connexion Airlines,1304,03:06,,,,,738,,,"Direct",2564,2610,1790,
- -,GRU,REC,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1304,03:06,,,,,321 320,,,"Direct",2564,2610,4867,
- -,GRU,REC,Oceanair (O6),Oceanair,1304,03:06,,,,,320 318,,,"Direct",2564,2610,3764,
- -,GRU,ROS,City Connexion Airlines (G3),City Connexion Airlines,1087,02:40,,,,,738 73G,,,"Direct",2564,2440,1790,
- -,GRU,ROS,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1087,02:40,,,,,320,,,"Direct",2564,2440,4867,
- -,GRU,SCL,Sky Airline (H2),Sky Airline,1623,03:44,,,,,319,,,"Direct",2564,2650,4737,
- -,GRU,SCL,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1623,03:44,,,,,773 320 330,,,"Direct",2564,2650,4867,
- -,GRU,SCL,LAN Airlines (LA),LAN Airlines,1623,03:44,,,,,319 763 320,,,"Direct",2564,2650,3200,
- -,GRU,SDQ,Delta Air Lines (DL),Delta Air Lines,3286,07:04,,,,,738,,,"Codeshare",2564,1762,2009,
- -,GRU,SDQ,City Connexion Airlines (G3),City Connexion Airlines,3286,07:04,,,,,738,,,"Direct",2564,1762,1790,
- -,GRU,SDU,City Connexion Airlines (G3),City Connexion Airlines,213,00:55,,,,,738 73G,,,"Direct",2564,2612,1790,
- -,GRU,SJP,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,260,01:01,,,,,320 319,,,"Direct",2564,2619,4867,
- -,GRU,SLZ,City Connexion Airlines (G3),City Connexion Airlines,1447,03:23,,,,,738,,,"Direct",2564,2616,1790,
- -,GRU,SLZ,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1447,03:23,,,,,320,,,"Direct",2564,2616,4867,
- -,GRU,SSA,City Connexion Airlines (G3),City Connexion Airlines,901,02:18,,,,,738,,,"Direct",2564,2621,1790,
- -,GRU,SSA,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,901,02:18,,,,,320 321,,,"Direct",2564,2621,4867,
- -,GRU,SSA,Oceanair (O6),Oceanair,901,02:18,,,,,320 318,,,"Direct",2564,2621,3764,
- -,GRU,THE,City Connexion Airlines (G3),City Connexion Airlines,1291,03:04,,,,,738,,,"Direct",2564,2623,1790,
- -,GRU,THE,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1291,03:04,,,,,320,,,"Direct",2564,2623,4867,
- -,GRU,UBA,Changan Airlines (2Z),Changan Airlines,270,01:02,,,,,AT7,,,"Direct",2564,2635,1729,
- -,GRU,UDI,Changan Airlines (2Z),Changan Airlines,333,01:09,,,,,AT7,,,"Direct",2564,2633,1729,
- -,GRU,UDI,City Connexion Airlines (G3),City Connexion Airlines,333,01:09,,,,,73G,,,"Direct",2564,2633,1790,
- -,GRU,UDI,Marusya Airways (Y8),Marusya Airways,333,01:09,,,,,EM2,,,"Direct",2564,2633,16725,
- -,GRU,UIO,TAME (EQ),TAME,2675,05:51,,,,,E70,,,"Direct",2564,2688,4863,
- -,GRU,VDC,Changan Airlines (2Z),Changan Airlines,695,01:53,,,,,AT7,,,"Direct",2564,6039,1729,
- -,GRU,VIX,City Connexion Airlines (G3),City Connexion Airlines,453,01:24,,,,,738 73G,,,"Direct",2564,2638,1790,
- -,GRU,VIX,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,453,01:24,,,,,320,,,"Direct",2564,2638,4867,
- -,GRU,VVI,City Connexion Airlines (G3),City Connexion Airlines,1148,02:47,,,,,738,,,"Direct",2564,2771,1790,
- -,GRU,VVI,Astrakhan Airlines (OB),Astrakhan Airlines,1148,02:47,,,,,733,,,"Direct",2564,2771,462,
- -,GRU,YYZ,Air Canada (AC),Air Canada,5088,10:40,,,,,763,,,"Direct",2564,193,330,
- -,GRU,YYZ,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5088,10:40,,,,,763,,,"Codeshare",2564,193,4867,
- -,GRU,ZRH,Swiss International Air Lines (LX),Swiss International Air Lines,5967,12:26,,,,,343,,,"Direct",2564,1678,4559,
