Symbol,price,size,timestamp,exchange,conditions,id,tape
ASH,19.51588502269316,200,2,2,2,2,2
ASH,19.667170953101493,1,2,2,2,2,2
ASH,19.667170953101493,100,2,2,2,2,2
ASH,19.679273827534143,2919,2,2,2,2,2
ASH,19.75794251134658,100,2,2,2,2,2
ASH,19.81845688350983,1,12,12,12,12,12
ASH,19.81845688350983,4,2,2,2,2,2
ASH,19.81845688350983,5,2,2,2,2,2
ASH,19.81845688350983,9,4,4,4,4,4
ASH,19.81845688350983,10,4,4,4,4,4
ASH,19.81845688350983,12,2,2,2,2,2
ASH,19.81845688350983,14,2,2,2,2,2
ASH,19.81845688350983,15,2,2,2,2,2
ASH,19.81845688350983,20,2,2,2,2,2
ASH,19.81845688350983,24,2,2,2,2,2
ASH,19.81845688350983,33,2,2,2,2,2
ASH,19.81845688350983,42,2,2,2,2,2
ASH,19.81845688350983,100,26,26,26,26,26
ASH,19.81845688350983,120,2,2,2,2,2
ASH,20.121028744326924,1,6,6,6,6,6
ASH,20.121028744326924,3,2,2,2,2,2
ASH,20.121028744326924,4,2,2,2,2,2
ASH,20.121028744326924,10,2,2,2,2,2
ASH,20.121028744326924,98,2,2,2,2,2
ASH,20.121028744326924,100,6,6,6,6,6
ASH,20.121028744326924,200,3,3,3,3,3
ASH,20.26626323751915,9,2,2,2,2,2
ASH,20.27231467473526,2,2,2,2,2,2
ASH,20.27231467473526,10,4,4,4,4,4
ASH,20.423600605144024,1,12,12,12,12,12
ASH,20.423600605144024,2,2,2,2,2,2
ASH,20.423600605144024,3,4,4,4,4,4
ASH,20.423600605144024,4,2,2,2,2,2
ASH,20.423600605144024,6,2,2,2,2,2
ASH,20.423600605144024,12,2,2,2,2,2
ASH,20.423600605144024,16,2,2,2,2,2
ASH,20.423600605144024,25,4,4,4,4,4
ASH,20.423600605144024,31,2,2,2,2,2
ASH,20.423600605144024,50,2,2,2,2,2
ASH,20.423600605144024,66,2,2,2,2,2
ASH,20.423600605144024,69,2,2,2,2,2
ASH,20.423600605144024,75,2,2,2,2,2
ASH,20.423600605144024,100,14,14,14,14,14
ASH,20.423600605144024,110,2,2,2,2,2
ASH,20.459909228441973,100,2,2,2,2,2
ASH,20.57488653555236,100,2,2,2,2,2
ASH,20.72617246596069,1,10,10,10,10,10
ASH,20.72617246596069,4,3,3,3,3,3
ASH,20.72617246596069,5,3,3,3,3,3
ASH,20.72617246596069,7,2,2,2,2,2
ASH,20.72617246596069,8,2,2,2,2,2
ASH,20.72617246596069,14,2,2,2,2,2
ASH,20.72617246596069,21,1,1,1,1,1
ASH,20.72617246596069,24,2,2,2,2,2
ASH,20.72617246596069,39,2,2,2,2,2
ASH,20.72617246596069,42,2,2,2,2,2
ASH,20.72617246596069,63,2,2,2,2,2
ASH,20.72617246596069,95,2,2,2,2,2
ASH,20.72617246596069,100,6,6,6,6,6
ASH,20.738275340393344,1,2,2,2,2,2
ASH,20.87745839636945,1,2,2,2,2,2
ASH,20.913767019667404,3,1,1,1,1,1
ASH,21.02874432677779,1,4,4,4,4,4
ASH,21.02874432677779,2,2,2,2,2,2
ASH,21.02874432677779,3,2,2,2,2,2
ASH,21.02874432677779,5,2,2,2,2,2
ASH,21.02874432677779,7,2,2,2,2,2
ASH,21.02874432677779,10,4,4,4,4,4
ASH,21.02874432677779,15,2,2,2,2,2
ASH,21.02874432677779,16,2,2,2,2,2
ASH,21.02874432677779,17,4,4,4,4,4
ASH,21.02874432677779,30,2,2,2,2,2
ASH,21.02874432677779,31,2,2,2,2,2
ASH,21.02874432677779,37,2,2,2,2,2
ASH,21.02874432677779,100,14,14,14,14,14
ASH,21.02874432677779,140,2,2,2,2,2
ASH,21.02874432677779,160,2,2,2,2,2
ASH,21.06505295007574,65,2,2,2,2,2
ASH,21.122541603631145,1,2,2,2,2,2
ASH,21.331316187594886,1,14,14,14,14,14
ASH,21.331316187594886,2,8,8,8,8,8
ASH,21.331316187594886,3,2,2,2,2,2
ASH,21.331316187594886,4,4,4,4,4,4
ASH,21.331316187594886,6,4,4,4,4,4
ASH,21.331316187594886,7,2,2,2,2,2
ASH,21.331316187594886,10,4,4,4,4,4
ASH,21.331316187594886,90,4,4,4,4,4
ASH,21.331316187594886,93,2,2,2,2,2
ASH,21.331316187594886,100,13,13,13,13,13
ASH,21.48260211800322,1,4,4,4,4,4
ASH,21.48260211800322,7,2,2,2,2,2
ASH,21.48260211800322,8,2,2,2,2,2
ASH,21.48260211800322,100,2,2,2,2,2
ASH,21.63388804841156,1,15,15,15,15,15
ASH,21.63388804841156,3,3,3,3,3,3
ASH,21.63388804841156,4,4,4,4,4,4
ASH,21.63388804841156,5,20,20,20,20,20
ASH,21.63388804841156,7,2,2,2,2,2
ASH,21.63388804841156,10,6,6,6,6,6
ASH,21.63388804841156,12,2,2,2,2,2
ASH,21.63388804841156,25,2,2,2,2,2
ASH,21.63388804841156,93,2,2,2,2,2
ASH,21.63388804841156,100,13,13,13,13,13
ASH,21.63388804841156,185,2,2,2,2,2
ASH,21.63388804841156,189,2,2,2,2,2
ASH,21.78517397882032,3,2,2,2,2,2
ASH,21.78517397882032,10,6,6,6,6,6
ASH,21.78517397882032,39,2,2,2,2,2
ASH,21.78517397882032,100,4,4,4,4,4
ASH,21.78517397882032,190,2,2,2,2,2
ASH,21.924357034796003,100,1,1,1,1,1
ASH,21.936459909228653,1,8,8,8,8,8
ASH,21.936459909228653,3,2,2,2,2,2
ASH,21.936459909228653,5,2,2,2,2,2
ASH,21.936459909228653,6,4,4,4,4,4
ASH,21.936459909228653,10,8,8,8,8,8
ASH,21.936459909228653,34,2,2,2,2,2
ASH,21.936459909228653,50,2,2,2,2,2
ASH,21.936459909228653,61,2,2,2,2,2
ASH,21.936459909228653,79,2,2,2,2,2
