Symbol,price,size,timestamp
LDOS,41.5,96,1
LDOS,41.5,100,1
LDOS,41.5,136,1
LDOS,41.5,139,1
LDOS,41.6,10,1
LDOS,41.6,65,1
LDOS,41.6,100,1
LDOS,41.7,1,1
LDOS,41.8,7,1
LDOS,42.0,1070,1
LDOS,42.3,1,1
LDOS,42.4,5,1
LDOS,42.4,10,1
LDOS,42.4,28,1
LDOS,42.4,32,1
LDOS,42.4,40,1
LDOS,41.5,88,1
LDOS,41.5,85,1
LDOS,41.5,70,1
LDOS,41.5,65,1
LDOS,41.1,100,1
LDOS,41.1,500,1
LDOS,41.3,82,1
LDOS,41.5,1,1
LDOS,41.5,2,1
LDOS,41.5,3,1
LDOS,41.5,4,1
LDOS,41.5,8,1
LDOS,42.4,75,1
LDOS,41.5,9,1
LDOS,41.5,22,1
LDOS,41.5,24,1
LDOS,41.5,30,1
LDOS,41.5,35,1
LDOS,41.5,50,1
LDOS,41.5,54,1
LDOS,41.5,55,1
LDOS,41.5,60,1
LDOS,41.5,19,1
LDOS,41.0,1,1
LDOS,42.4,228,1
LDOS,42.6,10,1
LDOS,44.8,100,1
LDOS,44.9,4,1
LDOS,45.1,3,1
LDOS,45.3,100,1
LDOS,45.5,2,1
LDOS,45.6,230,1
LDOS,45.7,3,1
LDOS,45.7,8,1
LDOS,45.7,41,1
LDOS,45.7,75,1
LDOS,45.7,141,1
LDOS,45.7,359,1
LDOS,45.7,534,1
LDOS,45.7,600,1
LDOS,45.8,13,1
LDOS,46.2,2,1
LDOS,46.9,1,1
LDOS,44.8,10,1
LDOS,44.4,132,1
LDOS,44.4,90,1
LDOS,44.4,11,1
LDOS,42.6,100,1
LDOS,42.8,44,1
LDOS,42.8,100,1
LDOS,42.8,610,1
LDOS,42.9,5,1
LDOS,42.9,17,1
LDOS,42.9,100,1
LDOS,43.1,11,1
LDOS,42.6,5,1
LDOS,43.1,30,1
LDOS,43.3,70,1
LDOS,43.5,7,1
LDOS,43.5,10,1
LDOS,43.7,1,1
LDOS,43.9,100,1
LDOS,44.2,11,1
LDOS,44.4,1,1
LDOS,44.4,10,1
LDOS,43.3,32,1
LDOS,38.4,28,1
LDOS,40.9,30,1
LDOS,40.8,100,1
LDOS,38.8,100,1
LDOS,38.9,1,1
LDOS,38.9,2,1
LDOS,38.9,3,1
LDOS,38.9,7,1
LDOS,38.9,10,1
LDOS,38.9,27,1
LDOS,38.9,54,1
LDOS,38.9,300,1
LDOS,39.1,2,1
LDOS,39.1,18,1
LDOS,39.1,20,1
LDOS,39.1,47,1
LDOS,39.1,53,1
LDOS,39.1,80,1
LDOS,39.1,300,1
LDOS,39.3,4,1
LDOS,38.8,10,1
LDOS,38.7,23,1
LDOS,38.7,10,1
LDOS,38.7,3,1
LDOS,38.4,58,1
LDOS,38.4,80,1
LDOS,38.4,120,1
LDOS,38.4,127,1
LDOS,38.5,10,1
LDOS,38.6,1,1
LDOS,38.6,2,1
LDOS,38.6,4,1
LDOS,39.3,8,1
LDOS,38.6,7,1
LDOS,38.6,33,1
LDOS,38.6,36,1
LDOS,38.6,40,1
LDOS,38.6,51,1
LDOS,38.6,55,1
LDOS,38.6,57,1
LDOS,38.6,70,1
