Symbol,size,p,price,timestamp
ASH,50,"(60, 75]",66.8799997596101,63
ASH,50,"(75, 90]",81.66080549061527,37
ASH,50,"(90, 105]",93.00277818394507,28
ASH,51,"(0, 15]",11.096079739975623,16
ASH,51,"(15, 30]",21.81367909141186,3
ASH,51,"(30, 45]",39.79624845367665,11
ASH,51,"(45, 60]",56.22281992816841,11
ASH,51,"(60, 75]",67.61310725416182,13
ASH,51,"(75, 90]",81.80521375117783,6
ASH,51,"(90, 105]",95.99112930740368,6
ASH,52,"(0, 15]",10.119577610003985,12
ASH,52,"(15, 30]",22.55418914019323,8
ASH,52,"(30, 45]",36.96364342254301,7
ASH,52,"(45, 60]",55.70471952076443,4
ASH,52,"(60, 75]",64.22888397617513,9
ASH,52,"(75, 90]",84.28596486161878,9
ASH,52,"(90, 105]",93.19913567610605,9
ASH,53,"(0, 15]",9.814323607427127,13
ASH,53,"(15, 30]",22.700394583005103,13
ASH,53,"(30, 45]",35.92630501535328,4
ASH,53,"(45, 60]",54.225708136673234,8
ASH,53,"(60, 75]",68.1504702194357,20
ASH,53,"(75, 90]",81.62799241488402,8
ASH,53,"(90, 105]",93.85875127942688,4
ASH,54,"(0, 15]",7.67241379310352,10
ASH,54,"(15, 30]",22.28060192610373,21
ASH,54,"(30, 45]",36.88267226367683,21
ASH,54,"(45, 60]",54.36610484187522,15
ASH,54,"(60, 75]",68.3979971956889,8
ASH,54,"(75, 90]",79.2025360726169,6
ASH,55,"(0, 15]",9.66964070412351,13
ASH,55,"(15, 30]",23.43617645501723,16
ASH,55,"(30, 45]",36.15404642652026,14
ASH,55,"(45, 60]",53.33009933806717,8
ASH,55,"(60, 75]",67.2034109492197,6
ASH,55,"(75, 90]",82.73626748549994,3
ASH,55,"(90, 105]",94.33640395769363,3
ASH,56,"(0, 15]",8.85710553814007,12
ASH,56,"(15, 30]",23.147052425215787,10
ASH,56,"(30, 45]",38.382804503582534,10
ASH,56,"(45, 60]",52.79737693883754,9
ASH,56,"(60, 75]",67.28056426332284,8
ASH,56,"(75, 90]",83.0347843664471,5
ASH,56,"(90, 105]",94.30228590924604,3
ASH,57,"(0, 15]",9.98733674941641,6
ASH,57,"(15, 30]",22.778239235969743,16
ASH,57,"(30, 45]",37.368876491101545,13
ASH,57,"(45, 60]",58.57430541963609,8
ASH,57,"(60, 75]",66.56773502148157,5
ASH,57,"(75, 90]",83.73510857194194,7
ASH,57,"(90, 105]",98.77175025588532,1
